CODE2,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
祇ガ跋絏,め计,计,╧┦计,┦计,戈丁
A6305-38,1086,2616,1253,1363,"109Y12M"
A6305-39,1207,2775,1357,1418,"109Y12M"
A6305-40,1217,2620,1249,1371,"109Y12M"
A6305-41,1259,2553,1197,1356,"109Y12M"
A6305-42,1217,3012,1431,1581,"109Y12M"
A6305-43,970,2104,985,1119,"109Y12M"
A6305-44,1218,2853,1361,1492,"109Y12M"
A6305-45,1170,2621,1253,1368,"109Y12M"
A6305-46,1346,2937,1380,1557,"109Y12M"
A6305-47,1045,2381,1140,1241,"109Y12M"
A6305-48,1441,3050,1402,1648,"109Y12M"
A6305-49,1181,2779,1282,1497,"109Y12M"
A6305-50,1159,2583,1216,1367,"109Y12M"
A6305-51,1347,2898,1324,1574,"109Y12M"
A6305-52,1155,2517,1219,1298,"109Y12M"
A6305-53,1211,2677,1297,1380,"109Y12M"
A6305-55,928,2332,1135,1197,"109Y12M"
A6305-56,1403,3091,1423,1668,"109Y12M"
A6306-02,976,2529,1242,1287,"109Y12M"
A6306-03,1305,3300,1587,1713,"109Y12M"
A6306-04,1064,2721,1278,1443,"109Y12M"
A6306-05,1416,3497,1686,1811,"109Y12M"
A6306-06,1158,2857,1427,1430,"109Y12M"
A6306-07,1209,2807,1333,1474,"109Y12M"
A6306-08,1200,2932,1465,1467,"109Y12M"
A6306-09,1165,2803,1409,1394,"109Y12M"
A6306-10,1430,3307,1592,1715,"109Y12M"
A6306-11,1270,3003,1436,1567,"109Y12M"
A6306-12,1181,2959,1380,1579,"109Y12M"
A6306-13,762,1933,1002,931,"109Y12M"
A6306-14,2117,3739,2104,1635,"109Y12M"
A6306-15,1143,2618,1257,1361,"109Y12M"
A6306-16,1466,3513,1685,1828,"109Y12M"
A6306-17,1388,3319,1604,1715,"109Y12M"
A6306-18,1539,3516,1692,1824,"109Y12M"
A6306-19,882,2162,1057,1105,"109Y12M"
A6306-20,1348,3228,1537,1691,"109Y12M"
A6306-21,817,1855,951,904,"109Y12M"
A6306-23,1095,2580,1192,1388,"109Y12M"
A6306-24,1130,2855,1380,1475,"109Y12M"
A6306-25,1190,2805,1339,1466,"109Y12M"
A6306-26,1276,3287,1552,1735,"109Y12M"
A6306-27,979,2448,1208,1240,"109Y12M"
A6306-28,821,2121,995,1126,"109Y12M"
A6306-29,749,1861,893,968,"109Y12M"
A6306-30,1185,2980,1416,1564,"109Y12M"
A6306-31,884,2283,1093,1190,"109Y12M"
A6306-32,1277,3154,1554,1600,"109Y12M"
A6306-33,1339,2949,1396,1553,"109Y12M"
A6306-34,990,2647,1295,1352,"109Y12M"
A6306-35,1387,3177,1536,1641,"109Y12M"
A6306-36,1501,3303,1529,1774,"109Y12M"
A6306-37,1136,2947,1429,1518,"109Y12M"
A6306-38,1209,2840,1439,1401,"109Y12M"
A6306-39,1240,3011,1452,1559,"109Y12M"
A6306-40,1056,2586,1236,1350,"109Y12M"
A6306-41,1264,3013,1468,1545,"109Y12M"
A6306-42,1507,3360,1549,1811,"109Y12M"
A6306-43,1318,2962,1412,1550,"109Y12M"
A6306-44,1448,3134,1543,1591,"109Y12M"
A6306-45,1374,3055,1450,1605,"109Y12M"
A6307-01,1294,2647,1236,1411,"109Y12M"
A6307-02,1549,3069,1466,1603,"109Y12M"
A6307-03,1750,3094,1502,1592,"109Y12M"
A6307-04,1440,2656,1257,1399,"109Y12M"
A6307-05,1582,3243,1626,1617,"109Y12M"
A6307-06,1470,2989,1349,1640,"109Y12M"
A6307-07,1205,2624,1318,1306,"109Y12M"
A6307-08,1670,3482,1672,1810,"109Y12M"
A6307-09,1587,3053,1426,1627,"109Y12M"
A6307-10,1635,3508,1696,1812,"109Y12M"
A6307-11,1346,2952,1414,1538,"109Y12M"
A6307-12,1250,2662,1274,1388,"109Y12M"
A6307-13,1152,2528,1272,1256,"109Y12M"
A6307-14,1365,3082,1490,1592,"109Y12M"
A6307-15,1065,2595,1271,1324,"109Y12M"
A6307-16,1227,2579,1255,1324,"109Y12M"
A6307-17,1020,2533,1249,1284,"109Y12M"
A6307-18,1210,2838,1427,1411,"109Y12M"
A6307-19,1147,2816,1324,1492,"109Y12M"
A6307-20,1021,2377,1211,1166,"109Y12M"
A6307-21,2495,4286,2466,1820,"109Y12M"
A6307-22,1026,2460,1213,1247,"109Y12M"
A6307-23,1063,2420,1157,1263,"109Y12M"
A6307-24,1071,2835,1421,1414,"109Y12M"
A6307-25,1074,2515,1245,1270,"109Y12M"
A6307-26,826,1931,1004,927,"109Y12M"
A6307-27,1096,2622,1316,1306,"109Y12M"
A6307-28,1051,2608,1312,1296,"109Y12M"
A6307-29,1102,2630,1305,1325,"109Y12M"
A6307-30,1053,2761,1344,1417,"109Y12M"
A6307-31,937,2502,1238,1264,"109Y12M"
A6307-32,1144,2804,1345,1459,"109Y12M"
A6307-33,2,3,1,2,"109Y12M"
A6307-34,1359,2988,1425,1563,"109Y12M"
A6307-35,1170,2624,1242,1382,"109Y12M"
A6307-36,1110,2690,1355,1335,"109Y12M"
A6307-37,1170,2920,1419,1501,"109Y12M"
A6307-38,1150,2573,1266,1307,"109Y12M"
A6307-39,892,2182,1098,1084,"109Y12M"
A6307-40,1429,3495,1658,1837,"109Y12M"
A6307-41,1177,2785,1336,1449,"109Y12M"
A6307-42,1162,2905,1438,1467,"109Y12M"
A6307-43,1092,2542,1187,1355,"109Y12M"
A6307-44,1236,2994,1482,1512,"109Y12M"
A6307-45,1070,2815,1391,1424,"109Y12M"
A6307-46,1036,2717,1364,1353,"109Y12M"
A6307-47,1482,2996,1333,1663,"109Y12M"
A6307-48,1094,2702,1292,1410,"109Y12M"
A6307-49,1078,2648,1287,1361,"109Y12M"
A6307-50,1259,2826,1322,1504,"109Y12M"
A6307-51,1268,3261,1586,1675,"109Y12M"
A6307-52,1037,2364,1127,1237,"109Y12M"
A6307-53,1238,3248,1619,1629,"109Y12M"
A6307-54,1293,3268,1605,1663,"109Y12M"
A6307-55,1134,2823,1414,1409,"109Y12M"
A6307-56,1015,2693,1326,1367,"109Y12M"
A6307-58,1228,2747,1324,1423,"109Y12M"
A6307-59,1111,2782,1361,1421,"109Y12M"
A6307-60,902,2396,1200,1196,"109Y12M"
A6307-61,1138,2907,1413,1494,"109Y12M"
A6307-62,1302,3119,1517,1602,"109Y12M"
A6307-63,1142,2928,1410,1518,"109Y12M"
A6307-64,1532,3303,1609,1694,"109Y12M"
A6307-65,1092,2825,1442,1383,"109Y12M"
A6307-66,1062,2814,1410,1404,"109Y12M"
A6307-67,1179,2910,1411,1499,"109Y12M"
A6308-01,1308,3089,1436,1653,"109Y12M"
A6308-02,1175,2713,1293,1420,"109Y12M"
A6308-03,1774,3992,1935,2057,"109Y12M"
A6308-04,1209,3243,1538,1705,"109Y12M"
A6308-05,1361,2990,1390,1600,"109Y12M"
A6308-06,1242,2868,1401,1467,"109Y12M"
A6308-07,1328,3168,1549,1619,"109Y12M"
A6308-08,1305,3239,1556,1683,"109Y12M"
A6308-09,1129,3076,1483,1593,"109Y12M"
A6308-10,1555,3589,1664,1925,"109Y12M"
A6308-11,1270,2901,1359,1542,"109Y12M"
A6308-12,1171,2834,1354,1480,"109Y12M"
A6308-13,1242,2984,1397,1587,"109Y12M"
A6308-14,1224,2821,1311,1510,"109Y12M"
A6308-15,1090,2579,1185,1394,"109Y12M"
A6308-16,1009,2566,1207,1359,"109Y12M"
A6308-17,1144,2838,1371,1467,"109Y12M"
A6308-18,1009,2874,1337,1537,"109Y12M"
A6308-19,1098,2842,1337,1505,"109Y12M"
A6308-20,1242,3004,1474,1530,"109Y12M"
A6308-21,924,2392,1142,1250,"109Y12M"
A6308-22,1055,2712,1302,1410,"109Y12M"
A6308-23,1155,2754,1314,1440,"109Y12M"
A6308-24,1292,3235,1521,1714,"109Y12M"
A6308-25,1432,3506,1681,1825,"109Y12M"
A6308-26,1092,2805,1336,1469,"109Y12M"
A6308-27,1037,2644,1274,1370,"109Y12M"
A6308-28,2373,5490,2595,2895,"109Y12M"
A6308-29,1224,3010,1413,1597,"109Y12M"
A6308-30,1164,2700,1270,1430,"109Y12M"
