"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8685","RPQNMLQJJHPFFAA47CA","22","19.85","共有部分","鋼筋混凝土造","86年6月10日","十九層",NA
"8686","RPQNMLQJJHPFFAA47CA","22","29.56","共有部分","鋼筋混凝土造","86年6月10日","十九層",NA
"8687","RPQNMLQJJHPFFAA47CA","22","1.24","共有部分","鋼筋混凝土造","86年6月10日","十九層",NA
"8688","RPPNMLKLJHPFFAA96CA",NA,"26.43",NA,"見其他登記事項",NA,"一層","一層"
"8689","RPRPMLNKJHPFFAA57CA","38","106.69","住家用","鋼筋混凝土造","71年2月26日","五層","四層"
"8690","RPRNMLSJJHPFFAA77CA","27","40.01","住家用","鋼筋混凝土造","81年10月6日","十五層","十二層"
"8691","RPRNMLSJJHPFFAA77CA","27","7.90","共有部分","鋼筋混凝土造","81年10月6日","十五層",NA
"8692","RPRNMLSJJHPFFAA77CA","27","6.72","共有部分","鋼筋混凝土造","81年10月6日","十六層",NA
"8693","RPXNMLSJJHPFFAA38CA","6","90.87","住家用","鋼筋混凝土造","102年8月12日","十三層","九層"
"8694","RPXNMLSJJHPFFAA38CA","6","50.20","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8695","RPXNMLSJJHPFFAA38CA","6","5.08","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8696","RPXNMLSJJHPFFAA38CA","6","13.13","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8697","RPXNMLSJJHPFFAA38CA","6","9.80","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8698","RPRNMLQJJHPFFAA57CA","46","107.82","住家用","鋼筋混凝土造","63年1月9日","四層","二層"
"8699","RPSPMLTJJHPFFAA18CA","22","48.97","商業用","鋼筋混凝土造","86年6月13日","八層","一層 電梯樓梯間"
"8700","RPSPMLTJJHPFFAA18CA","22","4.37","共有部分","鋼筋混凝土造","86年6月13日","八層",NA
"8701","RPTNMLMLJHPFFAA57CA","27","43.49","見使用執照","鋼筋混凝土造","81年10月29日","二十層","地下二層"
"8702","RPTNMLMLJHPFFAA57CA","27",".18","共有部分","鋼筋混凝土造","81年10月29日","二十層",NA
"8703","RPXOMLRJJHPFFAA38CA","6","69.69","住家用","鋼筋混凝土造","102年8月12日","十三層","十層"
"8704","RPXOMLRJJHPFFAA38CA","6","10.04","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8705","RPXOMLRJJHPFFAA38CA","6","46.99","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8706","RPXOMLRJJHPFFAA38CA","6","7.51","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8707","RPXOMLRJJHPFFAA38CA","6","3.82","見其他登記事項","鋼筋混凝土造","102年8月12日","十三層",NA
"8708","RPRRMLTJJHPFFBA38CA","33","106.01","住家用","鋼筋混凝土造","75年9月9日","五層","二層"
"8709","RPTOMLQJJHPFFAA87CA","13","22.85","住家用","鋼筋混凝土造","95年11月30日","九層","二層"
"8710","RPTOMLQJJHPFFAA87CA","13","4.49","共有部分","鋼筋混凝土造","95年11月30日","九層",NA
"8711","RPTOMLQJJHPFFAA87CA","13",".24","共有部分","鋼筋混凝土造","95年11月30日","九層",NA
"8712","RPTOMLQJJHPFFAA87CA","13","5.22","共有部分","鋼筋混凝土造","95年11月30日","九層",NA
"8713","RPOPMLRJJHPFFAA57CA","11","94.23","住家用","鋼筋混凝土造","97年5月27日","五層","三層"
"8714","RPTOMLQJJHPFFAA87CA","13",".41","共有部分","鋼筋混凝土造","95年11月30日","九層",NA
"8715","RPOPMLRJJHPFFAA57CA","11","40.48","共有部分","鋼筋混凝土造","97年5月27日","五層",NA
"8716","RPOPMLRJJHPFFAA57CA","11",".08","見其他登記事項","鋼筋混凝土造","97年5月27日","五層","一層"
"8717","RPOPMLRJJHPFFAA57CA","11",".03","共有部分","鋼筋混凝土造","97年5月27日","五層",NA
"8718","RPOPMLRJJHPFFAA57CA","11","14.83","共有部分","鋼筋混凝土造","97年5月27日","五層",NA
"8719","RPRNMLTJJHPFFBA97CA","31","81.34","住家用","鋼筋混凝土造","77年7月14日","五層","四層"
"8720","RPRNMLTJJHPFFBA97CA","31","16.24","共有部分","鋼筋混凝土造","77年7月14日","五層",NA
"8721","RPVPMLTJJHPFFBA58CA",NA,"181.80",NA,"磚造",NA,"二層","一層 二層 騎樓"
"8722","RPSPMLTJJHPFFBA28CA","3","144.89","住家用","鋼筋混凝土造","106年1月4日","十四層","十一層"
"8723","RPSPMLTJJHPFFBA28CA","3","127.16","見其他登記事項","鋼筋混凝土造","106年1月4日","十四層",NA
"8724","SPORMLTJJHPFFBA18CA",NA,"62.07",NA,"加強磚造",NA,"二層","一層 二層"
